GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
90423	8.2	3.915217718	3.837574123	3.992861312	-11.28019875	-11.36589439	-11.19450311	1.77	0.19	0.18	1.432675325	1.368621959	1.496728691	3	6	0.600245344	0.149352917	2.951429891	0.077643595	48.4121111	0.137916407	IS	IS	1.24e-7	7.73e-9	-1.64895	0.092848485	-	-	0.458841069	0.094544056	52.66933322	0.0935	Wind	PL	52.6693	0.0935	29.4074	90423	8.445061819825657	0.23674323007819703
90426	2.609	2.64657	2.55801	2.76734	-10.6655	-10.7474	-10.5729	1.705	0.49	0.457	1.00429	0.962438	1.04777	1.7	6	0.684811224	0.252219895	2.089183118	0.104665	47.91201768	0.182202006	S	S	1.56e-7	1.44e-8	-1.73956	0.134648485	-	-	0.715869996	0.123710928	51.79083108	0.085	S	PL	51.7908	0.085	28.8214	90426	10.992111917316624	0.28068788266496364
90510	0.903	3.17793555	3.142933083	3.212938016	-10.11471036	-10.15694036	-10.07248037	1.6405	0.095185346	0.078212851	2.00074629	1.929305882	2.072186698	2	5	0.793490544	0.026827164	2.898496762	0.035002466	47.39336916	0.044709792	S	S	4.31e-7	3.22e-8	-0.894917	0.125966364	-	-	0.491130545	0.039806493	50.93381469	0.0479	Wind	PL	50.9338	0.0479	28.2547	90510	14.221403426550134	0.2048992623130268
90519	3.85	3.44619	3.2059	3.68648	-11.76	-11.9715	-11.5486	1.63	0.33	0.27	1.42452	1.11802	1.73102	2.6	4.3	0.557539391	0.160062332	2.760448261	0.24029	47.13378125	0.245471554	L	L-G	6.86e-8	1.06e-8	-0.30749	0.389413636	-	-	0.069083646	0.042477865	50.82301091	0.2753	ISM	PL	50.823	0.2753	29.0241	90519	14.703607894989247	1.2183502582072694
90530	1.266	3.683946399	3.56858137	3.799311427	-11.16037428	-11.2495499	-11.07119865	2.09	0.63	0.56	0.886105811	0.847591609	0.924620012	2.7	6	1.076399262	0.317517961	3.328686493	0.115365029	46.84306501	0.156090281	SEE	SEE	2.66e-7	1.53e-8	-1.28986	0.086672727	-	-	0.55939133	0.039660673	51.1433317	0.0397	ISM	PL	51.1433	0.0397	28.4361	90530	13.352823155625064	0.15948920521484203
90618	0.54	3.672754528	3.658508915	3.68700014	-9.639275838	-9.648971093	-9.629580584	1.8945	0.12583819	0.120872867	1.309428612	1.298836996	1.320020228	2.8	6	0.955468918	0.03084297	3.485233807	0.014245612	47.40373412	0.017045133	XRF-C	XRF-C	3.13e-6	3.53e-8	-1.36072	0.020712121	-	-	0.758790271	0.00678596	51.43905516	0.0062	ISM	PL	51.439	0.0062	27.9818	90618	12.21711998810127	0.022942746116830694
90812	2.452	3.52924	3.39666	3.66182	-10.1673	-10.2734	-10.0611	1.53	0.22	0.19	1.37252	1.2884	1.45664	3	6	0.558607459	0.085986793	2.991169213	0.13258	48.25638795	0.125446833	L	L-G	3.52e-7	1.33e-8	-0.862179	0.063048182	-	-	0.244214676	0.019076532	51.61100297	0.0377	Wind	PL	51.611	0.0377	28.7887	90812	11.602052030656633	0.1313270690128249
91018	0.971	2.896555345	2.862057467	2.931053222	-9.626765539	-9.651054142	-9.602476935	1.91	0.108166538	0.10404326	1.180748671	1.164413557	1.197083785	1.9	6	0.940758614	0.041049305	2.601868721	0.034497877	48.03312577	0.030806545	L-G-P	L-G	5.91e-7	1.22e-8	-2.19323	0.038245455	-	-	1.140098296	0.029586816	51.51519537	0.0144	N/A	PL	51.5152	0.0144	28.2936	91018	11.940810043292126	0.0517259496928869
91020	1.71	2.952650108	2.907378853	2.997921363	-9.71287528	-9.747355967	-9.678394593	1.895	0.125299641	0.120933866	1.174172639	1.155927778	1.1924175	2.4	6	0.900613027	0.066995282	2.519680817	0.045271255	48.53545315	0.04725071	L-G-P	L-G	3.64e-7	1.71e-8	-1.18388	0.07539697	-	-	0.443246283	0.033317452	51.5010753	0.0385	N/A	PL	51.5011	0.0385	28.5973	91020	11.991571470574945	0.13868130510049675
91127	0.49	3.984668123	3.962732917	4.00660333	-9.845087061	-9.863649576	-9.826524545	1.758	0.084594622	0.079711982	1.395817008	1.382229699	1.409404317	2	6.5	0.908006428	0.018028481	3.811481855	0.021935207	47.07434916	0.020467579	XRF-A	XRF-A	2.99e-6	1.07e-7	-1.82982	0.057248485	-	-	0.934387803	0.021331446	51.40752444	0.0184	N/A	PL	51.4075	0.0184	27.9311	91127	12.333421777647603	0.06812068376685716
